INI25	J.K. Rowling no intuía que su nueva novela iba a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.
INI26	Bernard Montgomery no creyó que los ataques habían cesado.	Los ataques habían cesado.
INI27	Maykel Osorbo no sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
INC1	El gobierno no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
INC2	El comité de expertos no creía que la tendencia había cambiado.	La tendencia había cambiado.
INC3	El periódico no sabía que la noticia era falsa.	La noticia era falsa.
INC4	La junta directiva no pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien. 
INC5	La familia no anunció que habían recortado gastos.	La familia había recortado gastos.
INC6	La universidad no anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
INC7	El sindicato no sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
INC8	El ministerio no comunicó que iba a implementar nuevas medidas.	El ministerio iba a implementar nuevas medidas.
INC9	El canal de televisión no anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
INC10	El gobierno nacional no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
INC11	El comité de expertos del gobierno no creía que la tendencia había cambiado.	La tendencia había cambiado.
INC12	El periódico nacional no sabía que la noticia era falsa.	La noticia era falsa.
INC13	La junta directiva del club de fútbol no pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien.
INC14	La familia real no anunció que había recortado gastos.	La familia real había recortado gastos.
INC15	La universidad madrileña no anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
INC16	El sindicato de la empresa no sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
INC17	El Ministerio de Sanidad no comunicó que iba a implementar nuevas medidas.	El Ministerio de Sanidad iba a implementar nuevas medidas.
INC18	La televisión pública no anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
INC19	El gobierno español no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
INC20	El comité de expertos del gobierno español no creía que la tendencia había cambiado.	La tendencia había cambiado.
INC21	La Razón no sabía que la noticia era falsa.	La noticia era falsa.
INC22	La junta directiva del Barça no pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien. 
INC23	La familia real española no anunció que había recortado gastos.	La familia real española había recortado gastos.
INC24	La UCM no anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
INC25	Comisiones Obreras no sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
INC26	El Ministerio de Sanidad español no comunicó que iba a implementar nuevas medidas.	El Ministerio de Sanidad español iba a implementar nuevas medidas.
INC27	RTVE no anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
IAI1	Quizás el presidente dijo la verdad.	El presidente dijo la verdad.
IAI2	Tal vez el futbolista conocía todas las condiciones del contrato.	El futbolista conocía todas las condiciones del contrato.
IAI3	Probablemente la madre tenía la solución.	La madre tenía la solución.
IAI4	Quizás el director desconocía el historial del actor.	El director desconocía el historial del actor.
IAI5	Tal vez el actor olvidó el guión.	El actor olvidó el guión.
IAI6	Probablemente la mujer sospechaba de su marido.	La mujer sospechaba de su marido.
IAI7	Seguramente el alcalde tenía las llaves de la ciudad.	El alcalde tenía las llaves de la ciudad.
IAI8	Posiblemente el empresario ayudó al gobierno.	El empresario ayudó al gobierno.
IAI9	Posiblemente el médico trabajó hasta la extenuación.	El médico trabajó hasta la extenuación.
IAI10	Quizás el presidente del gobierno dijo la verdad.	El presidente del gobierno dijo la verdad.
IAI11	Tal vez el futbolista del PSG conocía todas las condiciones del contrato.	El futbolista del PSG conocía todas las condiciones del contrato.
IAI12	Probablemente la madre del famoso tenía la solución.	La madre del famoso tenía la solución.
IAI13	Quizás el director español desconocía el historial del actor.	El director español desconocía el historial del actor.
IAI14	Tal vez el actor español olvidó el guión.	El actor español olvidó el guión.
IAI15	Probablemente la mujer del futbolista sospechaba de su marido.	La mujer del futbolista sospechaba de su marido.
IAI16	Seguramente el alcalde de Madrid tenía las llaves de la ciudad.	El alcalde de Madrid tenía las llaves de la ciudad.
IAI17	Posiblemente el empresario español ayudó al gobierno.	El empresario español ayudó al gobierno.
IAI18	Posiblemente el médico italiano trabajó hasta la extenuación.	El médico italiano trabajó hasta la extenuación.
IAI19	Quizás José Luis Rodríguez Zapatero dijo la verdad.	José Luis Rodríguez Zapatero dijo la verdad.
IAI20	Tal vez Sergio Ramos conocía todas las condiciones del contrato.	Sergio Ramos conocía todas las condiciones del contrato.
IAI21	Probablemente la madre de Ronaldinho tenía la solución.	La madre de Ronaldinho tenía la solución.
IAI22	Quizás Alejandro Amenábar desconocía el historial del actor.	Alejandro Amenábar desconocía el historial del actor.
IAI23	Tal vez Antonio Banderas olvidó el guión.	Antonio Banderas olvidó el guión.
IAI24	Probablemente la mujer de Xabi Alonso sospechaba de su marido.	La mujer de Xabi Alonso sospechaba de su marido.
IAI25	Seguramente José Luis Martínez-Almeida tenía las llaves de la ciudad.	José Luis Martínez-Almeida tenía las llaves de la ciudad.
IAI26	Posiblemente Amancio Ortega ayudó al gobierno.	Amancio Ortega ayudó al gobierno.
IAI27	Posiblemente el doctor Carballo trabajó hasta la extenuación.	El Doctor Carballo trabajó hasta la extenuación.
IAC1	Quizás el sindicato tenía otra idea.	El sindicato tenía otra idea.
IAC2	Tal vez el gobierno conocía la corrupción existente.	El gobierno conocía la corrupción existente.
IAC3	Seguramente la junta directiva cumplió lo acordado.	La junta directiva cumplió lo acordado. 
IAC4	Quizás la universidad denunció los hechos.	La universidad denunció los hechos.
IAC5	Tal vez la empresa despidió a buena parte de sus trabajadores.	La empresa despidió a buena parte de sus trabajadores.
IAC6	Seguramente la policía desalojó la zona.	La policía desalojó la zona.
IAC7	Posiblemente la academia presentó a sus nuevos miembros.	La academia presentó a sus nuevos miembros.
IAC8	Probablemente el partido prohibió poner la bandera nacional en sus actos.	El partido prohibió poner la bandera nacional en sus actos.
IAC9	Probablemente el instituto arrestó a los criminales.	El instituto arrestó a los criminales.
IAC10	Quizás el sindicato de la empresa tenía otra idea.	El sindicato de la empresa tenía otra idea.
IAC11	Tal vez el gobierno nacional conocía la corrupción existente.	El gobierno nacional conocía la corrupción existente.
IAC12	Seguramente la junta directiva del club cumplió lo acordado.	La junta directiva del club cumplió lo acordado. 
IAC13	Quizás la universidad madrileña denunció los hechos.	La universidad madrileña denunció los hechos.
IAC14	Tal vez la empresa americana despidió a buena parte de sus trabajadores.	La empresa americana despidió a buena parte de sus trabajadores.
IAC15	Seguramente la policía local desalojó la zona.	La policía local desalojó la zona.
IAC16	Posiblemente la academia de la lengua presentó a sus nuevos miembros.	La academia de la lengua presentó a sus nuevos miembros.
IAC17	Probablemente el partido nacionalista prohibió poner la bandera nacional en sus actos.	El partido nacionalista prohibió poner la bandera nacional en sus actos.
IAC18	Probablemente el instituto armado arrestó a los criminales.	El instituto armado arrestó a los criminales.
IAC19	Quizás Comisiones Obreras tenía otra idea.	Comisiones Obreras tenía otra idea.
IAC20	Tal vez el gobierno español conocía la corrupción existente.	El gobierno español conocía la corrupción existente.
IAC21	Seguramente la junta directiva del Real Madrid cumplió lo acordado.	La junta directiva del Real Madrid cumplió lo acordado. 
IAC22	Quizás la UCM denunció los hechos.	La UCM denunció los hechos.
IAC23	Tal vez Coca Cola despidió a buena parte de sus trabajadores.	Coca Cola despidió a buena parte de sus trabajadores.
IAC24	Seguramente la policía local de Madrid desalojó la zona.	La policía local de Madrid desalojó la zona.
IAC25	Posiblemente la RAE presentó a sus nuevos miembros.	La RAE presentó a sus nuevos miembros.
IAC26	Probablemente VOX prohibió poner la bandera nacional en sus actos.	VOX prohibió poner la bandera nacional en sus actos.
IAC27	Probablemente la Guardia Civil arrestó a los criminales.	La Guardia Civil arrestó a los criminales.
SNI1	El hijo no oyó que le estuvieran llamando.	Estaban llamando al hijo.
SNI2	El presidente no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
SNI3	El experto no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
SNI4	La periodista no sabía que la noticia fuera falsa.	La noticia era falsa.
SNI5	El jugador no anunció que fuera a cambiar de equipo.	El jugador iba a cambiar de equipo.
SNI6	El entrenador no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.
SNI7	La escritora no intuía que su nueva novela fuera a tener éxito.	La nueva novela de la escritora iba a tener éxito.
SNI8	El general no creyó que los ataques hubieran cesado.	Los ataques habían cesado.
SNI9	El cantante no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.
SNI10	El hijo de la actriz no oyó que le estuvieran llamando.	Estaban llamando al hijo de la actriz.
SNI11	El presidente de España no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
SNI12	El experto en epidemias no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
SNI13	La periodista de LaSexta no sabía que la noticia fuera falsa.	La noticia era falsa.
SNI14	El jugador de fútbol no anunció que fuera a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.
SNI15	El entrenador de fútbol no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.
SNI16	La autora de literatura juvenil no intuía que su nueva novela fuera a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.
SNI17	El general británico no creyó que los ataques hubieran cesado.	Los ataques habían cesado.
SNI18	El cantante cubano no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.
SNI19	El hijo de Nicole Kidman no oyó que le estuvieran llamando.	Estaban llamando al hijo de Nicole Kidman.
SNI20	José Luis Rodríguez Zapatero no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
SNI21	Fernando Simón no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
SNI22	Ana Pastor no sabía que la noticia fuera falsa.	La noticia era falsa.
SNI23	Sergio Ramos no anunció que fuera a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.
SNI24	Julian Lopetegui no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.
SNI25	J.K. Rowling no intuía que su nueva novela fuera a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.
SNI26	Bernard Montgomery no creyó que los ataques hubieran cesado.	Los ataques habían cesado.
SNI27	Maykel Osorbo no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.
ID	PREMISE HYPOTHESIS
SNC1	El gobierno no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
SNC2	El comité de expertos no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
SNC3	El periódico no sabía que la noticia fuera falsa.	La noticia era falsa.
SNC4	La junta directiva no pensó que la reunión con los abogados hubiera ido bien.	La reunión con los abogados había ido bien.
SNC5	La familia no anunció que hubiera recortado gastos.	La familia había recortado gastos.
SNC6	La universidad no anunció que las clases fueran a ser presenciales.	Las clases iban a ser presenciales.
SNC7	El sindicato no sospechaba que el gobierno no fuera a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
SNC8	El ministerio no comunicó que fuera a implementar nuevas medidas.	El ministerio iba a implementar nuevas medidas.
SNC9	El canal de televisión no anunció que la periodista fuera a ser despedida.	La periodista iba a ser despedida.
SNC10	El gobierno nacional no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
SNC11	El comité de expertos del gobierno no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
SNC12	El periódico nacional no sabía que la noticia fuera falsa.	La noticia era falsa.
SNC13	La junta directiva del club de fútbol no pensó que la reunión con los abogados hubiera ido bien.	La reunión con los abogados había ido bien.
SNC14	La familia real no anunció que hubiera recortado gastos.	La familia real había recortado gastos.
SNC15	La universidad madrileña no anunció que las clases fueran a ser presenciales.	Las clases iban a ser presenciales.
SNC16	El sindicato de la empresa no sospechaba que el gobierno no fuera a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
SNC17	El Ministerio de Sanidad no comunicó que fuera a implementar nuevas medidas.	El Ministerio de Sanidad iba a implementar nuevas medidas.
SNC18	La televisión pública no anunció que la periodista fuera a ser despedida.	La periodista iba a ser despedida.
SNC19	El gobierno español no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
SNC20	El comité de expertos del gobierno español no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
SNC21	La Razón no sabía que la noticia fuera falsa.	La noticia era falsa.
SNC22	La junta directiva del Barça no pensó que la reunión con los abogados hubiera ido bien.	La reunión con los abogados había ido bien.
SNC23	La familia real española no anunció que hubiera recortado gastos.	La familia real española había recortado gastos.
SNC24	La UCM no anunció que las clases fueran a ser presenciales.	Las clases iban a ser presenciales.
SNC25	Comisiones Obreras no sospechaba que el gobierno no fuera a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
SNC26	El Ministerio de Sanidad español no comunicó que fuera a implementar nuevas medidas.	El Ministerio de Sanidad español iba a implementar nuevas medidas.
SNC27	RTVE no anunció que la periodista fuera a ser despedida.	La periodista iba a ser despedida.
SAI1	Quizás el presidente dijera la verdad.	El presidente dijo la verdad.
SAI2	Tal vez el futbolista conociera todas las condiciones del contrato.	El futbolista conocía todas las condiciones del contrato.
SAI3	Probablemente la madre tuviera la solución.	La madre tenía la solución.
SAI4	Quizás el director desconociera el historial del actor.	El director desconocía el historial del actor.
SAI5	Tal vez el actor olvidara el guión.	El actor olvidó el guión.
SAI6	Probablemente la mujer sospechara de su marido.	La mujer sospechaba de su marido.
SAI7	Seguramente el alcalde tuviera las llaves de la ciudad.	El alcalde tenía las llaves de la ciudad.
SAI8	Posiblemente el empresario ayudara al gobierno.	El empresario ayudó al gobierno.
SAI9	Posiblemente el médico trabajara hasta la extenuación.	El médico trabajó hasta la extenuación.
SAI10	Quizás el presidente del gobierno dijera la verdad.	El presidente del gobierno dijo la verdad.
SAI11	Tal vez el futbolista del PSG conociera todas las condiciones del contrato.	El futbolista del PSG conocía todas las condiciones del contrato.
SAI12	Probablemente la madre del famoso tuviera la solución.	La madre del famoso tenía la solución.
SAI13	Quizás el director español desconociera el historial del actor.	El director español desconocía el historial del actor.
SAI14	Tal vez el actor español olvidara el guión.	El actor español olvidó el guión.
SAI15	Probablemente la mujer del futbolista sospechara de su marido.	La mujer del futbolista sospechaba de su marido.
SAI16	Seguramente el alcalde de Madrid tuviera las llaves de la ciudad.	El alcalde de Madrid tenía las llaves de la ciudad.
SAI17	Posiblemente el empresario español ayudara al gobierno.	El empresario español ayudó al gobierno.
SAI18	Posiblemente el médico italiano trabajara hasta la extenuación.	El médico italiano trabajó hasta la extenuación.
SAI19	Quizás José Luis Rodríguez Zapatero dijera la verdad.	José Luis Rodríguez Zapatero dijo la verdad.
SAI20	Tal vez Sergio Ramos conociera todas las condiciones del contrato.	Sergio Ramos conocía todas las condiciones del contrato.
SAI21	Probablemente la madre de Ronaldinho tuviera la solución.	La madre de Ronaldinho tenía la solución.
SAI22	Quizás Alejandro Amenábar desconociera el historial del actor.	Alejandro Amenábar desconocía el historial del actor.
SAI23	Tal vez Antonio Banderas olvidara el guión.	Antonio Banderas olvidó el guión.
SAI24	Probablemente la mujer de Xabi Alonso sospechara de su marido.	La mujer de Xabi Alonso sospechaba de su marido.
SAI25	Seguramente José Luis Martínez-Almeida tuviera las llaves de la ciudad.	José Luis Martínez-Almeida tenía las llaves de la ciudad.
SAI26	Posiblemente Amancio Ortega ayudó al gobierno.	Amancio Ortega ayudó al gobierno.
SAI27	Posiblemente el doctor Carballo trabajó hasta la extenuación.	El Doctor Carballo trabajó hasta la extenuación.
SAC1	Quizás el sindicato tuviera otra idea.	El sindicato tenía otra idea.
SAC2	Tal vez el gobierno conociera la corrupción existente.	El gobierno conocía la corrupción existente.
SAC3	Seguramente la junta directiva cumpliera lo acordado.	La junta directiva cumplió lo acordado.
SAC4	Quizás la universidad denunciara los hechos.	La universidad denunció los hechos.
SAC5	Tal vez la empresa despidiera a buena parte de sus trabajadores.	La empresa despidió a buena parte de sus trabajadores.
SAC6	Seguramente la policía desalojara la zona.	La policía desalojó la zona.
SAC7	Posiblemente la academia presentara a sus nuevos miembros.	La academia presentó a sus nuevos miembros.
