SOURCE	ID	PREMISE	HYPOTHESIS
UN_2001	INI81	Los dirigentes albaneses de Kosovo no deben olvidar que gracias a la comunidad internacional lograron contener la embestida del régimen de Milosevic.	Gracias a la comunidad internacional los dirigentes albaneses lograron contener la embestida del régimen de Milosevic.
UN_2003	INI82	Sr. Sanders de los Países Bajos: Nosotros no creemos que se trata de una solución muy efectiva.	Se trata de una solución muy efectiva.
UN_2003	INI83	Los palestinos no entienden que los conflictos deben solucionarse por medio de la negociación y no por medio del terror.	Los conflictos deben solucionarse por medio de la negociación y no por medio del terror.
UN_2003	INI84	Los abogados no deben pensar que tienen un cheque en blanco contra el fondo de asistencia letrada.	Los abogados tienen un cheque en blanco contra el fondo de asistencia letrada.
UN_2003	INI85	El Observador de Palestina no dijo que el conflicto debe solucionarse.	El conflicto debe solucionarse.
UN_2003	INI86	Casi el 87% de los jóvenes de entre 15 y 19 años no creen que corren riesgo.	Los jóvenes de entre 15 y 19 años corren riesgo.
UN_2003	INI87	Las víctimas no sabían que se había violado un derecho.	Se había violado un derecho.
UN_2003	INI88	El representante de Israel no ha mencionado que Israel ha anexado de facto las tierras en disputa.	Israel ha anexado de facto las tierras en disputa.
UN_2003	INI89	El representante de Israel no ha mencionado que el muro se ha construido en tierras en disputa.	El muro se ha construido en tierras en disputa.
UN_2003	INI90	Los reclamantes no han demostrado que pagos supuestamente adeudados estaban efectivamente aplazados.	Pagos supuestamente adeudados estaban efectivamente aplazados.
